model_name,inchi,smiles,excited,multiplicity,lumped,stereochemistry
HE,InChI=1S/He,[He],0,0,0,1
H2,InChI=1S/H2/h1H,[H][H],0,0,0,1
H,InChI=1S/H,[H],0,0,0,1
O,InChI=1S/O,[O],0,0,0,1
OH,InChI=1S/HO/h1H,[OH],0,0,0,1
OHV,InChI=1S/HO/h1H,[OH],1,0,0,1
H2O,InChI=1S/H2O/h1H2,O,0,0,0,1
O2,InChI=1S/O2/c1-2,O=O,0,0,0,1
N2,InChI=1S/N2/c1-2,N#N,0,0,0,1
AR,InChI=1S/Ar,[Ar],0,0,0,1
CO2,InChI=1S/CO2/c2-1-3,O=C=O,0,0,0,1
CO,InChI=1S/CO/c1-2,[C]=O,0,0,0,1
CH4,InChI=1S/CH4/h1H4,C,0,0,0,1
H2O2,InChI=1S/H2O2/c1-2/h1-2H,OO,0,0,0,1
HO2,InChI=1S/HO2/c1-2/h1H,O[O],0,0,0,1
HOCO,"InChI=1S/CHO2/c2-1-3/h(H,2,3)",O[C]=O,0,0,0,1
OCHO,InChI=1S/CHO2/c2-1-3/h1H,O=C[O],0,0,0,1
CH3,InChI=1S/CH3/h1H3,[CH3],0,0,0,1
CH2CO,InChI=1S/C2H2O/c1-2-3/h1H2,C=C=O,0,0,0,1
O2CHO,InChI=1S/CHO3/c2-1-4-3/h1H,O=CO[O],0,0,0,1
HO2CHO,"InChI=1S/CH2O3/c2-1-4-3/h1,3H",O=COO,0,0,0,1
CH3O2,InChI=1S/CH3O2/c1-3-2/h1H3,CO[O],0,0,0,1
CH3O2H,"InChI=1S/CH4O2/c1-3-2/h2H,1H3",COO,0,0,0,1
CH2(S),InChI=1S/CH2/h1H2,[CH2],0,1,0,1
CH2,InChI=1S/CH2/h1H2,[CH2],0,3,0,1
HCO,InChI=1S/CHO/c1-2/h1H,[CH]=O,0,0,0,1
CHV,InChI=1S/CH/h1H,[CH],1,0,0,1
CH,InChI=1S/CH/h1H,[CH],0,0,0,1
CH2O,InChI=1S/CH2O/c1-2/h1H2,C=O,0,0,0,1
C2H2,InChI=1S/C2H2/c1-2/h1-2H,C#C,0,0,0,1
C2H4,InChI=1S/C2H4/c1-2/h1-2H2,C=C,0,0,0,1
C3H3,"InChI=1S/C3H3/c1-3-2/h1H,2H2",C#C[CH2],0,0,0,1
C,InChI=1S/C,[C],0,0,0,1
CH3O,InChI=1S/CH3O/c1-2/h1H3,C[O],0,0,0,1
CH2O2H,"InChI=1S/CH3O2/c1-3-2/h2H,1H2",[CH2]OO,0,0,0,1
CH2OH,"InChI=1S/CH3O/c1-2/h2H,1H2",[CH2]O,0,0,0,1
HCOH,InChI=1S/CH2O/c1-2/h1-2H,[CH]O,0,0,0,1
CH3OH,"InChI=1S/CH4O/c1-2/h2H,1H3",CO,0,0,0,1
CH3OOCH3,InChI=1S/C2H6O2/c1-3-4-2/h1-2H3,COOC,0,0,0,1
HOCHO,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",OC=O,0,0,0,1
HOCH2O,"InChI=1S/CH3O2/c2-1-3/h2H,1H2",OC[O],0,0,0,1
OCH2O2H,"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2",[O]COO,0,0,0,1
HOCH2O2,"InChI=1S/CH3O3/c2-1-4-3/h2H,1H2",OCO[O],0,0,0,1
HOCH2O2H,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2",OCOO,0,0,0,1
C2H5,"InChI=1S/C2H5/c1-2/h1H2,2H3",[CH2]C,0,0,0,1
C2H6,InChI=1S/C2H6/c1-2/h1-2H3,CC,0,0,0,1
C2H5O2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",CCO[O],0,0,0,1
C2H5O2H,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",CCOO,0,0,0,1
C2H3,"InChI=1S/C2H3/c1-2/h1H,2H2",[CH]=C,0,0,0,1
C2H5O,"InChI=1S/C2H5O/c1-2-3/h2H2,1H3",CC[O],0,0,0,1
C2H4O2H,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",[CH2]COO,0,0,0,1
C2H4O1-2,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,C1OC1,0,0,0,1
